run_id,mode,implementation,schedule_id,mutant_id,category,observer_passed,property_fingerprint,trace_events,provider_events,source_file
cooperative-go-reserve-replay-changed_payload_all_states,cooperative,go-reserve-replay,changed_payload_all_states,,diagnostic,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,3,1,changed_payload_all_states.go.json
portable-java-query-reconcile-changed_payload_all_states,portable,java-query-reconcile,changed_payload_all_states,,diagnostic,True,java-6ec92d05,2,1,changed_payload_all_states.java.json
cooperative-go-reserve-replay-changed_payload_all_states,cooperative,go-reserve-replay,changed_payload_all_states,,repeat,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,3,1,determinism_a.json
cooperative-go-reserve-replay-changed_payload_all_states,cooperative,go-reserve-replay,changed_payload_all_states,,repeat,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,3,1,determinism_b.json
cooperative-go-reserve-replay-exec_m10_parent_amount_dedup,cooperative,go-reserve-replay,exec_m10_parent_amount_dedup,exec_m10,mutant,False,eaee780ad3f5a8f4cbc74f1d0461304ba3a1c175e96ee6eba1e9ad96832008de,7,2,exec_m10_parent_amount_dedup.go.json
cooperative-go-reserve-replay-exec_m11_provider_key_drift,cooperative,go-reserve-replay,exec_m11_provider_key_drift,exec_m11,mutant,False,847b1bbac6e57fd55a3868d759b07fea5ab0301eef45afa5e9b208dcff973ca7,3,2,exec_m11_provider_key_drift.go.json
cooperative-go-reserve-replay-exec_m1_effect_before_claim,cooperative,go-reserve-replay,exec_m1_effect_before_claim,exec_m1,mutant,False,caa7b2626cbccb9199674f4a55d3f00f8e352402b4800a0d1199a640d5703cd9,3,1,exec_m1_effect_before_claim.go.json
cooperative-go-reserve-replay-exec_m2_unknown_as_rejected,cooperative,go-reserve-replay,exec_m2_unknown_as_rejected,exec_m2,mutant,False,66888a643806ed72adcc37f34ec53e00c789a6d575196a6b4f3e42deb9c2dcc2,2,1,exec_m2_unknown_as_rejected.go.json
cooperative-go-reserve-replay-exec_m3_non_atomic_claim,cooperative,go-reserve-replay,exec_m3_non_atomic_claim,exec_m3,mutant,False,caa7b2626cbccb9199674f4a55d3f00f8e352402b4800a0d1199a640d5703cd9,4,1,exec_m3_non_atomic_claim.go.json
cooperative-go-reserve-replay-exec_m4_raw_key_only_scope,cooperative,go-reserve-replay,exec_m4_raw_key_only_scope,exec_m4,mutant,False,f79abd69841a97bacdf30f1bbe0bda14621962c439848ad9339bea06ab6d8ca1,5,1,exec_m4_raw_key_only_scope.go.json
cooperative-go-reserve-replay-exec_m5_loser_calls_provider,cooperative,go-reserve-replay,exec_m5_loser_calls_provider,exec_m5,mutant,False,caa7b2626cbccb9199674f4a55d3f00f8e352402b4800a0d1199a640d5703cd9,4,1,exec_m5_loser_calls_provider.go.json
cooperative-go-reserve-replay-exec_m6_late_payload_check,cooperative,go-reserve-replay,exec_m6_late_payload_check,exec_m6,mutant,False,6bb2237f69d025dfa6c6fa17b09e0db4947f075788d9ac5820363893378345d7,4,1,exec_m6_late_payload_check.go.json
cooperative-go-reserve-replay-exec_m7_terminal_reexec,cooperative,go-reserve-replay,exec_m7_terminal_reexec,exec_m7,mutant,False,838635231fc123fe3f52e146f97fbc1cf91e19b27a7488d57881c9c8ddfdef67,4,1,exec_m7_terminal_reexec.go.json
cooperative-go-reserve-replay-exec_m8_no_projection_repair,cooperative,go-reserve-replay,exec_m8_no_projection_repair,exec_m8,mutant,False,66888a643806ed72adcc37f34ec53e00c789a6d575196a6b4f3e42deb9c2dcc2,2,1,exec_m8_no_projection_repair.go.json
cooperative-go-reserve-replay-exec_m9_short_retention,cooperative,go-reserve-replay,exec_m9_short_retention,exec_m9,mutant,False,66888a643806ed72adcc37f34ec53e00c789a6d575196a6b4f3e42deb9c2dcc2,3,1,exec_m9_short_retention.go.json
cooperative-go-reserve-replay-safe_pair_01_changed_payload_all_states,cooperative,go-reserve-replay,safe_pair_01_changed_payload_all_states,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,3,1,safe_pair_01_changed_payload_all_states.go.json
portable-java-query-reconcile-safe_pair_01_changed_payload_all_states,portable,java-query-reconcile,safe_pair_01_changed_payload_all_states,,safe_pair,True,java-6ec92d05,2,1,safe_pair_01_changed_payload_all_states.java.json
cooperative-go-reserve-replay-safe_pair_02_unknown_outcome_lookup_provider,cooperative,go-reserve-replay,safe_pair_02_unknown_outcome_lookup_provider,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,safe_pair_02_unknown_outcome_lookup_provider.go.json
portable-java-query-reconcile-safe_pair_02_unknown_outcome_lookup_provider,portable,java-query-reconcile,safe_pair_02_unknown_outcome_lookup_provider,,safe_pair,True,java-6ec92d05,1,1,safe_pair_02_unknown_outcome_lookup_provider.java.json
cooperative-go-reserve-replay-safe_pair_03_unknown_outcome_opaque_provider,cooperative,go-reserve-replay,safe_pair_03_unknown_outcome_opaque_provider,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,safe_pair_03_unknown_outcome_opaque_provider.go.json
portable-java-query-reconcile-safe_pair_03_unknown_outcome_opaque_provider,portable,java-query-reconcile,safe_pair_03_unknown_outcome_opaque_provider,,safe_pair,True,java-6ec92d05,1,1,safe_pair_03_unknown_outcome_opaque_provider.java.json
cooperative-go-reserve-replay-safe_pair_04_two_equal_partial_refunds,cooperative,go-reserve-replay,safe_pair_04_two_equal_partial_refunds,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,6,3,safe_pair_04_two_equal_partial_refunds.go.json
portable-java-query-reconcile-safe_pair_04_two_equal_partial_refunds,portable,java-query-reconcile,safe_pair_04_two_equal_partial_refunds,,safe_pair,True,java-6ec92d05,3,3,safe_pair_04_two_equal_partial_refunds.java.json
cooperative-go-reserve-replay-safe_pair_05_exec_m1_effect_before_claim,cooperative,go-reserve-replay,safe_pair_05_exec_m1_effect_before_claim,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,safe_pair_05_exec_m1_effect_before_claim.go.json
portable-java-query-reconcile-safe_pair_05_exec_m1_effect_before_claim,portable,java-query-reconcile,safe_pair_05_exec_m1_effect_before_claim,,safe_pair,True,java-6ec92d05,1,1,safe_pair_05_exec_m1_effect_before_claim.java.json
cooperative-go-reserve-replay-safe_pair_06_exec_m2_unknown_as_rejected,cooperative,go-reserve-replay,safe_pair_06_exec_m2_unknown_as_rejected,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,safe_pair_06_exec_m2_unknown_as_rejected.go.json
portable-java-query-reconcile-safe_pair_06_exec_m2_unknown_as_rejected,portable,java-query-reconcile,safe_pair_06_exec_m2_unknown_as_rejected,,safe_pair,True,java-6ec92d05,1,1,safe_pair_06_exec_m2_unknown_as_rejected.java.json
cooperative-go-reserve-replay-safe_pair_07_exec_m3_non_atomic_claim,cooperative,go-reserve-replay,safe_pair_07_exec_m3_non_atomic_claim,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,3,1,safe_pair_07_exec_m3_non_atomic_claim.go.json
portable-java-query-reconcile-safe_pair_07_exec_m3_non_atomic_claim,portable,java-query-reconcile,safe_pair_07_exec_m3_non_atomic_claim,,safe_pair,True,java-6ec92d05,2,1,safe_pair_07_exec_m3_non_atomic_claim.java.json
cooperative-go-reserve-replay-safe_pair_08_exec_m4_raw_key_only_scope,cooperative,go-reserve-replay,safe_pair_08_exec_m4_raw_key_only_scope,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,4,2,safe_pair_08_exec_m4_raw_key_only_scope.go.json
portable-java-query-reconcile-safe_pair_08_exec_m4_raw_key_only_scope,portable,java-query-reconcile,safe_pair_08_exec_m4_raw_key_only_scope,,safe_pair,True,java-6ec92d05,2,2,safe_pair_08_exec_m4_raw_key_only_scope.java.json
cooperative-go-reserve-replay-safe_pair_09_exec_m5_loser_calls_provider,cooperative,go-reserve-replay,safe_pair_09_exec_m5_loser_calls_provider,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,3,1,safe_pair_09_exec_m5_loser_calls_provider.go.json
portable-java-query-reconcile-safe_pair_09_exec_m5_loser_calls_provider,portable,java-query-reconcile,safe_pair_09_exec_m5_loser_calls_provider,,safe_pair,True,java-6ec92d05,2,1,safe_pair_09_exec_m5_loser_calls_provider.java.json
cooperative-go-reserve-replay-safe_pair_10_exec_m8_no_projection_repair,cooperative,go-reserve-replay,safe_pair_10_exec_m8_no_projection_repair,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,safe_pair_10_exec_m8_no_projection_repair.go.json
portable-java-query-reconcile-safe_pair_10_exec_m8_no_projection_repair,portable,java-query-reconcile,safe_pair_10_exec_m8_no_projection_repair,,safe_pair,True,java-6ec92d05,1,1,safe_pair_10_exec_m8_no_projection_repair.java.json
cooperative-go-reserve-replay-safe_pair_11_exec_m11_provider_key_drift,cooperative,go-reserve-replay,safe_pair_11_exec_m11_provider_key_drift,,safe_pair,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,safe_pair_11_exec_m11_provider_key_drift.go.json
portable-java-query-reconcile-safe_pair_11_exec_m11_provider_key_drift,portable,java-query-reconcile,safe_pair_11_exec_m11_provider_key_drift,,safe_pair,True,java-6ec92d05,1,1,safe_pair_11_exec_m11_provider_key_drift.java.json
cooperative-go-reserve-replay-two_equal_partial_refunds,cooperative,go-reserve-replay,two_equal_partial_refunds,,diagnostic,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,6,3,two_equal_partial_refunds.go.json
portable-java-query-reconcile-two_equal_partial_refunds,portable,java-query-reconcile,two_equal_partial_refunds,,diagnostic,True,java-6ec92d05,3,3,two_equal_partial_refunds.java.json
cooperative-go-reserve-replay-unknown_outcome_lookup_provider,cooperative,go-reserve-replay,unknown_outcome_lookup_provider,,diagnostic,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,unknown_outcome_lookup_provider.go.json
portable-java-query-reconcile-unknown_outcome_lookup_provider,portable,java-query-reconcile,unknown_outcome_lookup_provider,,diagnostic,True,java-6ec92d05,1,1,unknown_outcome_lookup_provider.java.json
cooperative-go-reserve-replay-unknown_outcome_opaque_provider,cooperative,go-reserve-replay,unknown_outcome_opaque_provider,,diagnostic,True,df6f372bed14f794202544285c47891d86a084673b80df1245db1b0abaa22437,2,1,unknown_outcome_opaque_provider.go.json
portable-java-query-reconcile-unknown_outcome_opaque_provider,portable,java-query-reconcile,unknown_outcome_opaque_provider,,diagnostic,True,java-6ec92d05,1,1,unknown_outcome_opaque_provider.java.json
