run_id,variant,configuration,result,generated_states,distinct_states,depth,wall_time_seconds
capture_minimal,payment_idempotency,capture_minimal,holds_within_bound,1189,1089,7,0.854
changed_payload_all_states,payment_idempotency,changed_payload_all_states,holds_within_bound,2283,2098,7,0.735
concurrent_same_identity,payment_idempotency,concurrent_same_identity,holds_within_bound,618990,583305,11,12.042
cross_scope_same_raw_key,payment_idempotency,cross_scope_same_raw_key,holds_within_bound,63043,52650,8,1.65
formal_m1,payment_idempotency,formal_m1,violated,7,7,3,0.808
formal_m10,payment_idempotency,formal_m10,violated,873,792,7,0.737
formal_m11,payment_idempotency,formal_m11,violated,3556,3074,7,0.775
formal_m2,payment_idempotency,formal_m2,violated,481,436,7,0.752
formal_m3,payment_idempotency,formal_m3,violated,70064,56556,10,1.939
formal_m4,payment_idempotency,formal_m4,violated,5875,4574,7,0.844
formal_m5,payment_idempotency,formal_m5,violated,20255,16218,9,1.121
formal_m6,payment_idempotency,formal_m6,violated,900,796,7,0.743
formal_m7,payment_idempotency,formal_m7,violated,877,795,7,0.776
formal_m8,payment_idempotency,formal_m8,violated,849,735,6,0.71
formal_m9,payment_idempotency,formal_m9,violated,15030,10286,7,1.009
liveness_fair,payment_idempotency,liveness_fair,holds_within_bound,63,63,6,0.786
liveness_no_recovery_fair,payment_idempotency,liveness_no_recovery_fair,violated,63,63,6,0.719
local_and_provider_expiry,payment_idempotency,local_and_provider_expiry,holds_within_bound,64855,42951,7,1.656
opaque_impossibility_witness,payment_idempotency,opaque_impossibility_witness,violated,481,436,7,0.828
partial_capture_and_refund,payment_idempotency,partial_capture_and_refund,holds_within_bound,2261,2076,7,0.746
projection_repair,payment_idempotency,projection_repair,holds_within_bound,14336,12389,7,0.971
reversal_parent_state,payment_idempotency,reversal_parent_state,holds_within_bound,1189,1089,7,0.703
unknown_outcome_lookup_provider,payment_idempotency,unknown_outcome_lookup_provider,holds_within_bound,3471653,3064766,11,52.412
unknown_outcome_opaque_provider,payment_idempotency,unknown_outcome_opaque_provider,holds_within_bound,1223,1123,7,0.82
unknown_outcome_replay_provider,payment_idempotency,unknown_outcome_replay_provider,holds_within_bound,3471633,3064746,11,50.671
witness_business_projection_mismatch,payment_idempotency,witness_business_projection_mismatch,violated,849,735,6,0.915
witness_changed_payload_reuse,payment_idempotency,witness_changed_payload_reuse,violated,876,796,7,0.933
witness_concurrent_same_identity_retry,payment_idempotency,witness_concurrent_same_identity_retry,violated,8,7,3,0.642
witness_distinct_identities_with_the_same_raw_key,payment_idempotency,witness_distinct_identities_with_the_same_raw_key,violated,12,10,3,0.703
witness_final_rejection,payment_idempotency,witness_final_rejection,violated,178,161,6,0.691
witness_local_expiry,payment_idempotency,witness_local_expiry,violated,15030,10286,7,1.003
witness_provider_expiry,payment_idempotency,witness_provider_expiry,violated,3,3,2,0.699
witness_provider_lookup_recovery,payment_idempotency,witness_provider_lookup_recovery,violated,894560,784404,11,9.891
witness_provider_replay_recovery,payment_idempotency,witness_provider_replay_recovery,violated,849,735,6,0.879
witness_successful_completion,payment_idempotency,witness_successful_completion,violated,177,160,6,0.766
witness_two_legitimate_equal_partial_refunds,payment_idempotency,witness_two_legitimate_equal_partial_refunds,violated,780528,671592,11,10.48
witness_unknown_provider_outcome,payment_idempotency,witness_unknown_provider_outcome,violated,478,433,7,0.9
